Year,NetId,DistrictId,AgencyType,DistrictName,SchoolId,SchoolName,HSStatus,NumHSGrads,NumCollEnrolled,PctCollEnrolled,ACT_NumTested,MeanACT_Eng,MeanACT_Math,MeanACT_Read,MeanACT_Sci,MeanACT_Composite,ACT_PctCollReady_Eng,ACT_PctCollReady_Math,ACT_PctCollReady_Read,ACT_PctCollReady_Sci,ACT_PctCollReady_Composite,Totalpop,under24pct,TotalStudents,FrplStudents,FemaleStudents,AmInStudents,AsianStudents,HispanicStudents,BlackStudents,WhiteStudents,IslandStudents,MultiraceStudents,TchrRatio,GradRate5Yr,HSGrad4Yr_Overall_Numerator,HSGrad4Yr_Overall_Denominator,HSGrad4Yr_Overall_Rate,HSGrad4Yr_FreeReduced_Numerator,HSGrad4Yr_FreeReduced_Denominator,HSGrad4Yr_FreeReduced_Rate,HSGrad4Yr_AfricanAmerican_Numerator,HSGrad4Yr_AfricanAmerican_Denominator,HSGrad4Yr_AfricanAmerican_Rate,HSGrad4Yr_Hispanic_Numerator,HSGrad4Yr_Hispanic_Denominator,HSGrad4Yr_Hispanic_Rate,HSGrad4Yr_AmIn_Numerator,HSGrad4Yr_AmIn_Denominator,HSGrad4Yr_AmIn_Rate,HSGrad4Yr_Asian_Numerator,HSGrad4Yr_Asian_Denominator,HSGrad4Yr_Asian_Rate,HSGrad4Yr_White_Numerator,HSGrad4Yr_White_Denominator,HSGrad4Yr_White_Rate,HSGrad4Yr_Multirace_Numerator,HSGrad4Yr_Multirace_Denominator,HSGrad4Yr_Multirace_Rate,HSGrad4Yr_IEP_Numerator,HSGrad4Yr_IEP_Denominator,HSGrad4Yr_IEP_Rate,HSGrad4Yr_ELL_Numerator,HSGrad4Yr_ELL_Denominator,HSGrad4Yr_ELL_Rate,HSGrad4Yr_Migrant_Numerator,HSGrad4Yr_Migrant_Denominator,HSGrad4Yr_Migrant_Rate,HSGrad4Yr_Female_Numerator,HSGrad4Yr_Female_Denominator,HSGrad4Yr_Female_Rate,HSGrad4Yr_Male_Numerator,HSGrad4Yr_Male_Denominator,HSGrad4Yr_Male_Rate,HSGrad4Yr_Islander_Numerator,HSGrad4Yr_Islander_Denominator,HSGrad4Yr_Islander_Rate,HSGrad4Yr_Homeless_Numerator,HSGrad4Yr_Homeless_Denominator,HSGrad4Yr_Homeless_Rate,HSGrad4Yr_FosterCare_Numerator,HSGrad4Yr_FosterCare_Denominator,HSGrad4Yr_FosterCare_Rate,Gr4Math_NumEnrolled,Gr4Read_NumEnrolled,Gr8Math_NumEnrolled,Gr8Read_NumEnrolled,Gr4Math_NumFullAcadYear,Gr4Read_NumFullAcadYear,Gr8Math_NumFullAcadYear,Gr8Read_NumFullAcadYear,Gr4Math_NumTested,Gr4Read_NumTested,Gr8Math_NumTested,Gr8Read_NumTested,Gr4Math_PartRate,Gr4Read_PartRate,Gr8Math_PartRate,Gr8Read_PartRate,Gr4Math_NumNotProficient,Gr4Read_NumNotProficient,Gr8Math_NumNotProficient,Gr8Read_NumNotProficient,Gr4Math_NumProficient,Gr4Read_NumProficient,Gr8Math_NumProficient,Gr8Read_NumProficient,Gr4Math_PctProficient,Gr4Read_PctProficient,Gr8Math_PctProficient,Gr8Read_PctProficient
2003,,9,,AGWSR,90109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,59,50,50,54,54,49,49,59,59,50,50,100,100,100,100,,,,,44,43,44,42,81.48148148,79.62962963,89.79591837,85.71428571
2003,,18,,ADAIR-CASEY COMM SCHOOL DISTRICT,180172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,25,25,26,26,25,25,26,26,25,25,100,100,100,100,,,,,18,19,16,14,69.23076923,73.07692308,64,56
2003,,27,,ADEL-DESOTO-MINBURN COMMUNITY SCHOOL DISTRICT (0027),270172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,103,115,115,90,90,107,107,103,103,115,115,100,100,100,100,,,,,83,83,78,86,92.22222222,92.22222222,72.89719626,80.37383178
2003,,63,,AKRON WESTFIELD,630172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,51,51,37,37,49,49,37,37,49,49,100,100,96.07843137,96.07843137,,,,,31,31,37,32,83.78378378,83.78378378,75.51020408,65.30612245
2003,,81,,ALBIA,810109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,96,96,90,90,91,91,100,100,95,95,100,100,98.95833333,98.95833333,,,,,66,67,55,60,73.33333333,74.44444444,60.43956044,65.93406593
2003,,99,,ALBURNETT,990172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,53,53,44,44,51,51,49,49,53,53,100,100,100,100,,,,,38,33,41,44,86.36363636,75,80.39215686,86.2745098
2003,,126,,ALGONA,1260109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,102,102,88,88,101,99,96,96,102,100,100,100,100,98.03921569,,,,,70,75,73,76,79.54545455,85.22727273,72.27722772,76.76767677
2003,,126,,ALGONA,1260118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,102,102,88,88,101,99,96,96,102,100,100,100,100,98.03921569,,,,,70,75,73,76,79.54545455,85.22727273,72.27722772,76.76767677
2003,,135,,ALLAMAKEE,1350109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,148,148,110,110,147,148,110,110,147,148,100,100,99.32432432,100,,,,,83,83,92,103,75.45454545,75.45454545,62.58503401,69.59459459
2003,,135,,ALLAMAKEE,1350118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,148,148,110,110,147,148,110,110,147,148,100,100,99.32432432,100,,,,,83,83,92,103,75.45454545,75.45454545,62.58503401,69.59459459
