Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2022-10-17T00:00:00.000,2010,49691,31232,53040,36857,48811,50095,34176,48075,37962,47949,35388,49168,33749,46473,64100,45132,70723,40714,49171,46901,25345,56452,36571,34247,43403
2022-10-17T00:00:00.000,2011,51970,32213,55801,38775,49862,52275,36309,50198,39307,49812,37570,50903,35020,48289,68165,46743,74818,42127,51387,48958,26148,58827,38048,35085,45459
2022-10-17T00:00:00.000,2012,53016,32945,57046,39187,51260,53243,38110,51653,39861,50056,38081,51702,35896,49044,69554,47254,76602,42389,52815,49315,26193,59401,39095,34800,47380
2022-10-17T00:00:00.000,2013,52576,33017,57308,40123,51192,52850,39188,51938,40578,49832,38965,51811,36459,48970,67878,48059,73353,42331,52969,49234,27403,60606,39236,35453,47851
2022-10-17T00:00:00.000,2014,54100,34505,59237,42332,52940,54324,40232,53976,41551,50729,40201,53373,38947,50689,69106,50644,74559,43125,54744,50512,28941,63007,40761,37423,49525
2022-10-17T00:00:00.000,2015,56392,35510,61255,44260,54698,56738,41068,56343,42988,52425,41409,55087,39862,52501,71243,52781,79358,44249,56475,52333,29768,65700,42128,38871,54118
2022-10-17T00:00:00.000,2016,58329,37320,62801,45567,56180,58114,41955,57958,44076,53721,41920,57382,41199,54290,73236,54349,83540,45407,59158,53465,29143,67419,43296,39030,54048
2022-10-17T00:00:00.000,2017,60014,38180,64584,47076,57861,59692,44051,60081,45459,55003,43846,59479,41864,56216,75232,57270,85351,46745,61742,54383,30107,68604,44187,40172,55768
2022-10-17T00:00:00.000,2018,61600,39391,66510,49219,59695,61389,44700,61328,47516,55839,44828,61728,43822,57839,76499,58935,86316,48421,63043,56372,29978,70343,45700,40321,56079
2022-10-17T00:00:00.000,2019,62989,40687,68314,49964,62543,63247,45657,63409,48834,57196,46514,62804,45630,59653,78033,60407,86221,49947,64996,57891,30623,72729,47071,41134,56536
2022-10-17T00:00:00.000,2020,66799,43970,72197,54097,66585,66469,48393,66901,51853,61324,49921,66664,48630,63432,81969,64331,89552,54195,67861,61144,32531,76528,50493,44184,59881
